ALAN,KAHN,ALAN.KAHN@sakilacustomer.org,14/02/2006,124.74
ALEX,GRESHAM,ALEX.GRESHAM@sakilacustomer.org,14/02/2006,151.67
ALEXANDER,FENNELL,ALEXANDER.FENNELL@sakilacustomer.org,14/02/2006,151.64
ALFRED,CASILLAS,ALFRED.CASILLAS@sakilacustomer.org,14/02/2006,120.74
ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,14/02/2006,138.67
ALMA,AUSTIN,ALMA.AUSTIN@sakilacustomer.org,14/02/2006,151.65
ALVIN,DELOACH,ALVIN.DELOACH@sakilacustomer.org,14/02/2006,139.71
AMBER,DIXON,AMBER.DIXON@sakilacustomer.org,14/02/2006,113.73
AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,14/02/2006,127.71
ANA,BRADLEY,ANA.BRADLEY@sakilacustomer.org,14/02/2006,174.66
ANDRE,RAPP,ANDRE.RAPP@sakilacustomer.org,14/02/2006,126.72
ANDY,VANHORN,ANDY.VANHORN@sakilacustomer.org,14/02/2006,113.75
ANGEL,BARCLAY,ANGEL.BARCLAY@sakilacustomer.org,14/02/2006,115.68
ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,14/02/2006,140.64
ARLENE,HARVEY,ARLENE.HARVEY@sakilacustomer.org,14/02/2006,120.74
ARNOLD,HAVENS,ARNOLD.HAVENS@sakilacustomer.org,14/02/2006,167.67
ARTHUR,SIMPKINS,ARTHUR.SIMPKINS@sakilacustomer.org,14/02/2006,155.68
ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,14/02/2006,112.75
AUDREY,RAY,AUDREY.RAY@sakilacustomer.org,14/02/2006,119.71
BARRY,LOVELACE,BARRY.LOVELACE@sakilacustomer.org,14/02/2006,134.67
BEATRICE,ARNOLD,BEATRICE.ARNOLD@sakilacustomer.org,14/02/2006,119.74
BECKY,MILES,BECKY.MILES@sakilacustomer.org,14/02/2006,115.71
BERNICE,WILLIS,BERNICE.WILLIS@sakilacustomer.org,14/02/2006,145.67
BESSIE,MORRISON,BESSIE.MORRISON@sakilacustomer.org,14/02/2006,132.72
BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,14/02/2006,117.72
BILL,GAVIN,BILL.GAVIN@sakilacustomer.org,14/02/2006,114.72
BILLY,POULIN,BILLY.POULIN@sakilacustomer.org,14/02/2006,149.65
BRADLEY,MOTLEY,BRADLEY.MOTLEY@sakilacustomer.org,14/02/2006,126.73
BRANDON,HUEY,BRANDON.HUEY@sakilacustomer.org,14/02/2006,152.63
BRANDY,GRAVES,BRANDY.GRAVES@sakilacustomer.org,14/02/2006,122.72
BRENT,HARKINS,BRENT.HARKINS@sakilacustomer.org,14/02/2006,112.77
BRETT,CORNWELL,BRETT.CORNWELL@sakilacustomer.org,14/02/2006,138.66
BRITTANY,RILEY,BRITTANY.RILEY@sakilacustomer.org,14/02/2006,159.72
BRYAN,HARDISON,BRYAN.HARDISON@sakilacustomer.org,14/02/2006,124.72
BYRON,BOX,BYRON.BOX@sakilacustomer.org,14/02/2006,120.71
CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,14/02/2006,117.7
CARRIE,PORTER,CARRIE.PORTER@sakilacustomer.org,14/02/2006,124.66
CASEY,MENA,CASEY.MENA@sakilacustomer.org,14/02/2006,141.66
